NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251350,female,30,6x5mm,1,"primary-8,1 unsheath symetrical",light,18.16,0.106,0.662,0.168,Passeriformes,Furnariidae,Phleocryptes melanops,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,16.6,15.6,22.3,12.04,9.46,10.75,0.48206278,21.04,12.86,8.42,10.64,0.505703422,0.493539455,383,,1915,19150000,3830000000,3.83,128.8614766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251347,male,70,6x5mm,1,neck body tail wing,trace,15.86,0.106,0.806,0.224,Passeriformes,Furnariidae,Phleocryptes melanops,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,17.7,16.7,19.16,10.21,8.39,9.3,0.485386221,13.26,8.09,6.05,7.07,0.533182504,0.504935225,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278514,female,20,none,0,none,light,12.03,0.102,0.72,0.188,Passeriformes,Furnariidae,Phleocryptes melanops,7,December,2017,Puerto Morin,0,l,Peru,8,25.6,78,54.249,18.9,17.9,12.03,7.28,4.95,6.115,0.508312552,19.95,10.93,8.76,9.845,0.493483709,0.499061914,357,,1785,17850000,3570000000,3.57,139.7932531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,15 min,,whole blood saved
251540,male,20,none,0,trace head molt,light,15.38,0.1,0.754,NA,Passeriformes,Furnariidae,Phleocryptes melanops,16,January,2017,Ondores,4061,h,Peru,11,3.378,76,9.369,15.5,14.5,37.36,21.59,19.41,20.5,0.548715203,35.12,19.35,17.5,18.425,0.524629841,0.537044702,429,,2145,21450000,4290000000,4.29,125.1852452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251538,male,10,none,0,trace body molt,moderate,14.46,0.096,0.644,0.218,Passeriformes,Furnariidae,Phleocryptes melanops,15,January,2017,Ondores,4050,h,Peru,11,3.325,76,9.391666667,16.1,15.1,31.88,15.61,12.62,14.115,0.442754078,NA,NA,NA,NA,NA,NA,422,,2110,21100000,4220000000,4.22,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278515,female,20,5 x 4 mm,1,none,light,11.78,0.096,0.685,0.202,Passeriformes,Furnariidae,Phleocryptes melanops,7,December,2017,Puerto Morin,0,l,Peru,8,25.548,78,54.123,20.2,19.2,11.49,8.09,5.52,6.805,0.592254134,15.76,10.71,7.89,9.3,0.590101523,0.591009174,454,,2270,22700000,4540000000,4.54,130.1782322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,20 min,,
251351,male,40,no,0,moderado por todo el cuerpo,moderado,15.82,0.096,0.724,0.204,Passeriformes,Furnariidae,Phleocryptes melanops,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,17.1,16.1,22.23,12.35,9.97,11.16,0.502024291,22.48,14.64,9.51,12.075,0.537144128,0.519682398,415,,2075,20750000,4150000000,4.15,125.2246741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278509,female,20,3.5 x 3.5 mm,1,moderate body,light,12.29,0.092,0.558,NA,Passeriformes,Furnariidae,Phleocryptes melanops,6,December,2017,Puerto Morin,0,l,Peru,8,25.548,78,54.123,17.7,16.7,23.4,13.87,10.96,12.415,0.530555556,17.35,10.15,7.76,8.955,0.516138329,0.524417178,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1 hr,,
251535,female,20,none,0,trace head molt,light,15.57,0.092,0.68,0.204,Passeriformes,Furnariidae,Phleocryptes melanops,14,January,2017,Ondores,4060,h,Peru,11,3.325,76,9.391666667,17.7,16.7,41.81,24.87,22.11,23.49,0.561827314,23.35,14.81,11.43,13.12,0.561884368,0.561847759,421,,2105,21050000,4210000000,4.21,133.4555248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278506,male,30,no,0,si leve parate de ala,moderado,15.33,0.092,0.858,0.204,Passeriformes,Furnariidae,Phleocryptes melanops,6,December,2017,Puerto Morin,0,l,Peru,8,25.548,78,54.123,18.5,17.5,28.26,17.16,13.73,15.445,0.546532201,39.2,21.32,18.82,20.07,0.511989796,0.526460125,343,,1715,17150000,3430000000,3.43,153.4869168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,30 min,,
251340,male,0,6x6mm,1,trace head,trace,15.14,0.09,0.554,0.178,Passeriformes,Furnariidae,Phleocryptes melanops,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,16.8,15.8,14.24,9.03,6.23,7.63,0.535814607,8.98,3.11,1.4,2.255,0.251113586,0.425710594,336,,1680,16800000,3360000000,3.36,126.6995816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
