NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV
251795,male,80,none,0,light tail and lower back molt,trace,9.71,,0.302,0.11,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251790,male,100,none,0,trace neck molt,moderate,10.12,0.074,0.428,0.122,Passeriformes,Troglodytidae,Troglodytes aedon,16,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251797,male,70,none,0,trace molt on chest and stomach,trace,10.17,,0.636,0.122,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251794,male,100,,0,"trace body, light head",moderate,11.2,0.06,0.466,0.162,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251789,female,100,none,0,light body molt on back and chest,trace,11.3,,0.34,0.128,Passeriformes,Troglodytidae,Troglodytes aedon,16,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251813,male,100,none,0,trace head,light,11.51,,0.588,0.12,Passeriformes,Troglodytidae,Troglodytes aedon,18,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251814,male,100,none,0,heavy body molt; primaries/secondaries/coverts in sheaths,light,11.56,,0.792,0.128,Passeriformes,Troglodytidae,Troglodytes aedon,18,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251809,male,100,none,0,light body; heavy head and wing molt; secondaries and tail feathers in sheaths,light,11.79,,0.694,0.16,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251792,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,16,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251793,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251796,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251810,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251733,male,100,none,0,P6 in sheath symmetrical; light body,trace,20.8,0.142,1.348,0.23,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.373,71,19.223,,,,,,,,,,,,,,,,,,,,
162025,female,0.98,1 x 2,1,"none, part of tail missing",very light,10.7,,,,Passeriformes,Troglodytidae,Troglodytes aedon,3,June,2007,Huachipa,366,,,12,0.504,76,55.261,16.1,15.1,22.37,12.09,10.24,11.165,0.499105945,19.35,10.88,7.51,9.195,0.475193798,0.48801534,,,,,,4.98,97.99504827
251734,female,100,none,0,moderate body molt; light wing molt; 6-9 primaries in sheath,trace,21.61,,1.032,0.188,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.373,71,19.223,,,,,,,,,,,,,,,,,,,,
172354,male,100,2.5x2.0,1,No molt anywhere,trace,20.6,,,0.21,Passeriformes,Passerellidae,Zonotrichia capensis,5,August,2010,Anco Cahua,2975,,,17,19.253,70,14.864,,,,,,,,,,,,,,,,,,,,
172119,male,0,2x1,1,none,light,9.8,,,0.122,Passeriformes,Troglodytidae,Troglodytes aedon,21,July,2010,Bosque Cachil,2550,,,7,24.23,78,46.787,18.3,17.3,27.3,16.05,14.11,15.08,0.552380952,20.27,12.29,10.29,11.29,0.55698076,0.554340971,,,,,,,
251727,female,100,none,0,light wing molt; light body molt on back and head,light,21.89,,1.122,,Passeriformes,Passerellidae,Zonotrichia capensis,10,July,2015,El Algarrobal,20,,,17,37.342,71,19.139,,,,,,,,,,,,,,,,,,,,
168173,male,100,2x2,1,no,si moderado,12.6,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,34.45,19.5,16.96,,0.529172714,39.9,22.8,20.09,,0.537468672,0.533624748,,,,,,,
251729,female,100,none,0,"moderate body, back, head molt; primaries in sheath",trace,23.15,,1.504,0.178,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
251722,,100,none,0,none,trace,23.26,,0.592,,Passeriformes,Passerellidae,Zonotrichia capensis,10,July,2015,El Algarrobal,20,,,17,37.373,71,19.223,,,,,,,,,,,,,,,,,,,,
251730,female,100,none,0,"P:8,9 in sheath symmetrical; light coverts, moderate head, neck; light body",light,23.39,0.148,1.396,0.194,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
251742,male,100,none,0,secondaries in sheaths; moderate body and back molt,trace,23.54,,0.86,0.19,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
251737,male,100,none,0,"light body, head, neck",light,23.87,0.142,1.446,0.232,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
251721,male,100,none,0,"light body, head, neck",light,24.42,0.15,1.456,0.304,Passeriformes,Passerellidae,Zonotrichia capensis,10,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
251738,female,100,none,0,none,trace,25.51,,1.282,0.232,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
251725,,,,,,,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,10,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
251741,,,,,,,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.373,71,19.223,,,,,,,,,,,,,,,,,,,,
251744,,,,,,,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.373,71,19.223,,,,,,,,,,,,,,,,,,,,
168082,male,100,2x2,1,si leve,si moderado,11.2,,,,Passeriformes,Troglodytidae,Troglodytes aedon,15,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,31.65,17.43,14.55,,0.50521327,23.59,13.08,10.88,,0.507842306,0.506335988,,,,,,,
168081,male,100,2x2,1,no,si leve,10.4,,,,Passeriformes,Troglodytidae,Troglodytes aedon,15,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,27.74,15.1,12.79,,0.502703677,5.54,4.5,1.88,,0.575812274,0.514873798,,,,,,,
169332,male,0,2x2,1,"no body,wing,tail molt",light,9.11,,,0.144,Passeriformes,Troglodytidae,Troglodytes aedon,9,January,2010,,4384,,,14,3.619,73,0.509,,,,,,,,,,,,,,,,,,,,
168984,male,100,none,0,none,light,8.92,,,,Passeriformes,Troglodytidae,Troglodytes aedon,16,December,2009,ca. 9.8 km N. of Olmos,129,,,5,53.7396,79,47.0916,16.8,15.8,38.45,20.86,18.48,19.67,0.511573472,36.84,18.47,17.05,17.76,0.482084691,0.497144375,,,,,,5.41,91.89359983
168946,female,100,none,0,none,light,9.53,,,0.09,Passeriformes,Troglodytidae,Troglodytes aedon,15,December,2009,ca. 9.8 km N. of Olmos,133,,,5,53.7684,79,47.1132,16.5,15.5,28.1,13.08,10.96,12.02,0.427758007,,,,,,,,,,,,12.63,33.86840911
220412,female,60,2x2mm,1,no flight,trace,11.07,,,,Passeriformes,Troglodytidae,Troglodytes aedon,12,July,2014,El Huayco,325,,,12,0.511,76,55.418,8.8,7.8,,,,,,,,,,,,,,,,,,
169005,male,100,none,0,none,none,8.25,,,,Passeriformes,Troglodytidae,Troglodytes aedon,18,December,2009,ca. 9.8 km N. of Olmos,133,,,5,53.7684,79,47.1132,17.3,16.3,35.9,19.55,16.99,18.27,0.508913649,12.99,7.06,5.03,6.045,0.465357968,0.49734097,,,,,,5.93,83.86862892
169004,male,100,none,0,none,light,7.87,,,,Passeriformes,Troglodytidae,Troglodytes aedon,18,December,2009,ca. 9.8 km N. of Olmos,133,,,5,53.7684,79,47.1132,,,,,,,,,,,,,,,,,,,,
169070,male,100,none,0,none,light,9.17,,,0.1,Passeriformes,Troglodytidae,Troglodytes aedon,21,December,2009,ca. 9.8 km N. of Olmos,133,,,5,53.7684,79,47.1132,,,,,,,,,,,,,,,,,,,,
169115,male,100,none,0,none,light,7.95,,,0.136,Passeriformes,Troglodytidae,Troglodytes aedon,25,December,2009,ca. 9.8 km N. of Olmos,143,,,5,53.9148,79,47.1102,15.2,14.2,48.98,25.07,23.53,24.3,0.496120866,46.27,23.82,20.8,22.31,0.482169872,0.489343832,,,,,,5.06,96.7082672
169120,male,100,none,0,none,moderate,7.258,,,0.134,Passeriformes,Troglodytidae,Troglodytes aedon,26,December,2009,ca. 9.8 km N. of Olmos,143,,,5,53.9148,79,47.1102,,,,,,,,,,,,,,,,,,,,
251771,female,100,none,0,none,none,10.75,0.07,0.582,0.118,Passeriformes,Troglodytidae,Troglodytes aedon,14,July,2015,Rio Osmore,278,,,17,32.243,71,10.227,,,,,,,,,,,,,,,,,,,,
251765,female,100,none,0,trace head,none,21.62,0.122,1.392,0.236,Passeriformes,Passerellidae,Zonotrichia capensis,14,July,2015,Rio Osmore,278,,,17,32.288,71,10.337,,,,,,,,,,,,,,,,,,,,
251776,female,100,none,0,"heavy head, light body/neck",light,23.89,0.098,1.43,0.202,Passeriformes,Passerellidae,Zonotrichia capensis,14,July,2015,Rio Osmore,278,,,17,32.238,71,10.249,,,,,,,,,,,,,,,,,,,,
251763,male,100,none,0,"heavy on chest, light on back/head/wings",trace,25.53,,1.206,,Passeriformes,Passerellidae,Zonotrichia capensis,13,July,2015,El Algarrobal,278,,,17,32.238,71,10.249,,,,,,,,,,,,,,,,,,,,
251760,,,,,,,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,13,July,2015,El Algarrobal,278,,,17,32.253,71,10.283,,,,,,,,,,,,,,,,,,,,
251764,,,,,,,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,13,July,2015,El Algarrobal,278,,,17,32.248,71,10.243,,,,,,,,,,,,,,,,,,,,
251777,,,,,,,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,14,July,2015,Rio Osmore,278,,,17,32.238,71,10.249,,,,,,,,,,,,,,,,,,,,
251766,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,14,July,2015,Rio Osmore,278,,,17,32.243,71,10.227,,,,,,,,,,,,,,,,,,,,
251778,female,60,not found,0,none,trace,21.13,,0.95,0.198,Passeriformes,Passerellidae,Zonotrichia capensis,14,July,2015,Rio Osmore,285,,,17,32.159,71,10.254,,,,,,,,,,,,,,,,,,,,
251781,male,90,not found,0,"coverts in sheaths,heavy head, neck, and body",trace,25.15,0.168,1.578,0.244,Passeriformes,Passerellidae,Zonotrichia capensis,15,July,2015,Rio Osmore,285,,,17,32.159,71,10.254,,,,,,,,,,,,,,,,,,,,
251782,,,,,,,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,15,July,2015,Rio Osmore,285,,,17,32.159,71,10.254,,,,,,,,,,,,,,,,,,,,
251746,female,0,2x3mm,1,none,light,21.41,0.144,1.238,0.194,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.342,71,19.139,,,,,,,,,,,,,,,,,,,,
176089,female,100,none,0,"L &R P7, entire tail in sheath, moderate body/head/neck.",trace,14,0.088,0.914,0.224,Passeriformes,Troglodytidae,Troglodytes aedon,23,June,2011,Alerta,292,,,11,42.667,69,12.698,,,22.85,11.44,9.03,,0.447921225,,,,,,,,,,,,,
220492,,0,3.6x2.1mm,1,"body-light/moderate, moderate on head",light,10.5,0.048,0.432,0.116,Passeriformes,Troglodytidae,Troglodytes aedon,26,July,2014,Huayup,1049,,,9,54.484,77,49.282,16.6,15.6,14.15,8.75,7.14,7.945,0.561484099,20.74,12.74,9.47,11.105,0.535438766,0.54600172,,,,,,,
168102,female,80,3x2,1,no,si abundante,21.8,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,23.97,11.28,13.21,,0.510846892,36.66,17.09,19.11,,0.493726132,0.500494805,,,,,,,
168094,female,100,3x2,1,si leve,si leve,9.8,,,,Passeriformes,Troglodytidae,Troglodytes aedon,16,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,20.43,10.5,9.31,,0.484826236,6.72,3.79,3.7,,0.557291667,0.502762431,,,,,,,
176521,male,100,none,0,no molt,trace,12.2,0.07,0.77,0.15,Passeriformes,Troglodytidae,Troglodytes aedon,5,July,2011,Alerta,297,,,11,42.534,69,12.808,,,3.21,2.35,1.54,,0.605919003,,,,,,,,,,,,,
168548,male,50,3x2,1,no ,si abundante,10.4,,,,Passeriformes,Troglodytidae,Troglodytes aedon,6,September,2009,San Pedro de Casta - Potago,3910,,,11,45.816,76,32.55,,,30.72,17.47,14.47,15.97,0.519856771,30.46,17.66,13.27,15.465,0.507715036,0.513811703,,,,,,,
220745,female,50,3x2,1,no,leve,9.77,0.04,0.548,0.158,Passeriformes,Troglodytidae,Troglodytes aedon,28,November,2014,Contunapampa,4160,,,11,46.034,76,31.641,,,,,,,,,,,,,,,,,,,,
173961,male,5,3x3,1,no molt anywhere,trace,11.29,0.074,0.624,0.12,Passeriformes,Troglodytidae,Troglodytes aedon,13,June,2011,Plataforma,1673,,,7,25.153,76,17.522,,,11.73,6.27,2.56,,0.376385337,10.04,,,,,,,,,,,4.21,89.40269281
171489,male,100,none,0,light molt on rump and back,trace,11.36,,,0.156,Passeriformes,Troglodytidae,Troglodytes aedon,4,July,2010,Huacapongo,309,,,8,23.211,78,38.7108,12,11,40.12,17.76,16.28,17.02,0.424227318,7.95,4.87,3.26,4.065,0.511320755,0.438631163,,,,,,,
171499,male,100,none,0,none,moderate,10.54,,,0.116,Passeriformes,Troglodytidae,Troglodytes aedon,4,July,2010,Huacapongo,309,,,8,23.211,78,38.7108,15.5,14.5,34.72,16.23,14.03,15.13,0.435771889,27.04,14.06,12.67,13.365,0.494267751,0.461382772,,,,,,,
171425,male,100,none,0,none,trace,10,,,0.148,Passeriformes,Troglodytidae,Troglodytes aedon,2,July,2010,Huacapongo,309,,,8,23.211,78,38.7108,,,,,,,,,,,,,,,,,,,,
171465,male,100,none,0,none,trace,10.06,,,0.146,Passeriformes,Troglodytidae,Troglodytes aedon,3,July,2010,Huacapongo,309,,,8,23.211,78,38.7108,,,,,,,,,,,,,,,,,,,,
251743,female,50,3x4mm,1,light tail coverts,light,21.63,0.124,1.304,0.198,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
176329,male,10,4 X 2 ,1,L. rectrice 3 in sheath (symmetrical),light,12,0.098,0.488,0.128,Passeriformes,Troglodytidae,Troglodytes aedon,30,June,2011,Alerta,290,,,11,42.66,69,12.6,,,19.19,11.52,7.33,,0.491141219,8.95,6.13,3.04,,0.512290503,0.497867804,,,,,,,
220464,male,0,4x2mm,1,"no flight molt, light body",light,10.62,0.05,0.534,0.118,Passeriformes,Troglodytidae,Troglodytes aedon,20,July,2014,Chosica,994,,,11,55.502,76,39.084,14,13,11.72,6.58,3.66,5.12,0.436860068,10.92,7.54,3.74,5.64,0.516483516,0.475265018,,,,,,,
220582,female,10,4x2mm,1,moderate head and neck molt,light,10.74,0.052,0.502,0.14,Passeriformes,Troglodytidae,Troglodytes aedon,4,August,2014,,1761,,,9,51.499,77,44.782,,,,,,,,,,,,,,,,,,,,
169340,male,0,4x2mm,1,light body molt,no fat,10.73,,,0.14,Passeriformes,Troglodytidae,Troglodytes aedon,10,January,2010,,4401,,,14,3.654,73,0.566,,,,,,,,,,,,,,,,,,,,
169485,male,80,4x3,1,no,si moderado,20.5,,,0.23,Passeriformes,Passerellidae,Zonotrichia capensis,23,January,2010,,39,,,10,4.087,78,8.162,,,34.5,17.95,15.82,16.885,0.48942029,38.42,19,17.6,18.3,0.47631442,0.482515085,,,,,,,
220587,male,10,4x3.5mm,1,"no flight, trace body",none,22.4,0.164,1.472,0.198,Passeriformes,Passerellidae,Zonotrichia capensis,4,August,2014,,1761,,,9,51.499,77,44.782,,,,,,,,,,,,,,,,,,,,
251044,female,90,4x3mm,1,none,none,21.92,,,,Passeriformes,Passerellidae,Zonotrichia capensis,19,January,2015,Viquil,1646,,,11,48.121,76,37.389,,,,,,,,,,,,,,,,,,,,
176498,female,,5 X 2,1,no wings/tail,,11.93,0.1,0.492,0.134,Passeriformes,Troglodytidae,Troglodytes aedon,4,July,2011,Alerta,297,,,11,42.493,69,12.845,,,6.96,4.85,3.13,,0.573275862,18.11,10.94,8.66,,0.541137493,0.550059832,,,,,,,
220574,female,10,5x2.5mm,1,"ni flight, light-mod head molt, light body",trace,20.9,0.11,1.12,0.186,Passeriformes,Passerellidae,Zonotrichia capensis,3,August,2014,Irman,1761,,,9,51.499,77,44.782,16.5,15.5,39.47,21.03,18.64,19.835,0.50253357,29.2,15.81,13.4,14.605,0.500171233,0.501529052,,,,,,,
168113,male,100,5x3,1,no,si moderado,22.1,,,,Passeriformes,Passerellidae,Zonotrichia capensis,18,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,36.21,19.75,17.76,,0.517950842,36.28,20.12,18.16,,0.527563396,0.52276176,,,,,,,
168074,male,80,5x3,1,no,si moderado,12.2,,,,Passeriformes,Troglodytidae,Troglodytes aedon,15,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,60.66,27.86,25.43,,0.439251566,59.39,26.72,25.33,,0.438205085,0.438733861,,,,,,,
168100,female,50,5x3,1,no,si abundante,8.8,,,,Passeriformes,Tyrannidae,Troglodytes aedon,16,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,11.96,5.56,6.45,,0.502090301,17.07,7.66,9.73,,0.509373169,0.506372718,,,,,,,
220552,female,10,5x3,1,"light body, heavy head",trace,11.68,0.052,0.492,0.114,Passeriformes,Troglodytidae,Troglodytes aedon,2,August,2014,,1745,,,,,,,17,16,27.65,15.9,12.22,14.06,0.508499096,18.52,10.87,7.87,9.37,0.505939525,0.507472385,,,,,,,
251745,male,30,5x3mm,1,"left P:9 in sheath; S:2,3,4 in sheath symmetrical; light body, head, neck",light,22.37,0.102,1.326,0.196,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.342,71,19.139,,,,,,,,,,,,,,,,,,,,
220612,male,10,5x3mm,1,trace body,light,10.6,0.064,0.566,0.12,Passeriformes,Troglodytidae,Troglodytes aedon,7,August,2014,Yanaparin,723,,,9,57.518,77,48.442,14.5,13.5,51.72,25.17,20.96,23.065,0.44595901,50.05,24.43,20.06,22.245,0.444455544,0.445219613,,,,,,,
220502,male,25,5x3mm,1,light- back & head,no,10.56,0.048,0.608,0.11,Passeriformes,Troglodytidae,Troglodytes aedon,27,July,2014,,1057,,,9,54.591,77,49.29,,,,,,,,,,,,,,,,,,,,
221226,female,80,5x3mm,1,no,leve,9.9,0.052,0.486,0.124,Passeriformes,Troglodytidae,Troglodytes aedon,10,September,2014,San Pedro de Casta,3158,,,11,46.01,76,35.804,,,,,,,,,,,,,,,,,,,,
168163,female,100,5x4,1,no,si leve,10.6,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,40.13,20.6,17.77,,0.478071268,33.92,18.03,15.43,,0.49321934,0.485010128,,,,,,,
168078,female,50,5x4,1,si moderado,si moderado,20.5,,,,Passeriformes,Passerellidae,Zonotrichia capensis,15,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,32.26,15.41,12.73,,0.436143831,,,,,,0.436143831,,,,,,,
168098,female,80,5x4,1,no,si leve,20,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,30.59,15.26,12.7,,0.457012095,29.44,14.48,12.32,,0.455163043,0.456105281,,,,,,,
168158,,,,,,,22.1,,,,Passeriformes,Passerellidae,Zonotrichia capensis,19,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,23.14,12.86,10.62,,0.507346586,41.1,22.52,20.31,,0.521046229,0.516111457,,,,,,,
168095,male,50,5x4,1,no,si leve,9,,,,Passeriformes,Troglodytidae,Troglodytes aedon,16,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,16.81,9.12,6.41,,0.461927424,15.06,7.88,6.26,,0.469455511,0.465484782,,,,,,,
220489,female,5,6 x 4,1,heavy body and head molt,trace,20.87,0.132,1.304,0.228,Passeriformes,Passerellidae,Zonotrichia capensis,26,July,2014,Huayup,1060,,,9,54.507,77,49.286,14.9,13.9,62.39,29.91,26.92,28.415,0.455441577,63.1,28.74,26.33,27.535,0.43637084,0.445852259,,,,,,,
168115,female,30,6x3,1,no,si moderado,10.1,,,,Passeriformes,Troglodytidae,Troglodytes aedon,18,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,25.38,14.05,11.59,,0.505122143,11.57,7.42,4.38,,0.509939499,0.506630582,,,,,,,
163191,female,30,6x3,1,si,si,12.1,,,,Passeriformes,Troglodytidae,Troglodytes aedon,29,January,2008,Carpish Tunel,2798,,,9,43.65,76,6.405,20.5,19.5,18.73,10.66,7.76,9.21,0.491724506,34.44,19.14,16.57,17.855,0.518437863,0.509027647,,,,,,4.17,122.0689801
171692,male,75,6x3,1,missing right half of tail,light,11.01,,,0.146,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2010,Carhuaz,3439,,,9,34.327,77,50.847,,,,,,,,,,,,,,,,,,,,
220558,female,30,6x3.5mm,1,"no flight, light body",none,10.3,0.048,0.492,0.098,Passeriformes,Troglodytidae,Troglodytes aedon,2,August,2014,Irman,1761,,,9,51.499,77,44.782,15.3,14.3,,,,,,,,,,,,,,,,,,
163023,male,100,6x4,1,no,"si, regular",7.5,,,,Passeriformes,Troglodytidae,Troglodytes aedon,9,January,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,16.9,15.9,28.48,14.92,11.94,13.43,0.471558989,27.4,14.33,11.08,12.705,0.463686131,0.46769864,,,,,,4.48,104.3970178
168635,male,30,6x4,1,no,si moderado,11,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,September,2009,San Pedro de Casta - Potago,4056,,,11,46.062,76,32.077,19.9,18.9,32.41,18.42,16.93,17.675,0.545356371,42.91,24.39,22.89,23.64,0.550920531,0.548526288,,,,,,3.84,142.8453875
220778,male,100,6x5,1,no,moderado,18.36,0.108,1.084,0.26,Passeriformes,Passerellidae,Zonotrichia capensis,3,December,2014,Contunapampa,4237,,,11,46.118,76,31.406,21.4,20.4,53.9,32.82,31.11,31.965,0.593042672,29.81,16.38,14.03,15.205,0.510063737,0.563493012,,,,,,,
171747,female,5,7.0x5.0,1,R6 in sheath,trace,27.09,,,0.234,Passeriformes,Passerellidae,Zonotrichia capensis,22,July,2010,Caraz,3714,,,9,6.0583,77,51.9333,17.2,16.2,24.91,15.46,13.22,14.34,0.575672421,33.6,21.01,18.43,19.72,0.586904762,0.582122714,,,,,,,
172637,male,10,7x4,1,no,light,11.44,,,0.152,Passeriformes,Troglodytidae,Troglodytes aedon,5,August,2010,Puente de la Sirena,3201,,,13,10.655,72,35.76,,,,,,,,,,,,,,,,,,,,
251726,male,100,7x4mm,1,"no wing/tail molt; moderate/heavy body, head, neck",moderate,21.61,0.102,1.304,0.236,Passeriformes,Passerellidae,Zonotrichia capensis,10,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
251338,,10,7x5mm,1,heavy head neck and body molt,trace,23.25,0.2,1.266,0.248,Passeriformes,Passerellidae,Zonotrichia capensis,25,March,2015,Viscachuni,3838,,,15,48.478,69,59.723,,,,,,,,,,,,,,,,,,,,
168027,male,0,8x3.5 mm,1,"No wing/tail, trace body",heavy,12.14,,,,Passeriformes,Troglodytidae,Troglodytes aedon,28,July,2008,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande",2073,,,6,6.252,78,20.533,19,18,42.08,24.35,21.72,23.035,0.547409696,43.04,24.37,21.95,23.16,0.538104089,,,,,,,2.59,209.5383849
162982,male,0,8x5,1,none,light,11.65,,,,Passeriformes,Troglodytidae,Troglodytes aedon,8,January,2008,Huachipa-Choclo,372,,,12,0.089,76,55.249,15.3,14.3,58.53,26.88,24.22,25.55,0.436528276,57.76,26.76,23.73,25.245,0.437067175,0.436795941,,,,,,4.89,89.32432335
159873,male,50% ossified,bursa (mm): 1.5x2,1,"no wing or tail, trace of body",not recorded,20.8,,,,Passeriformes,Passerellidae,Zonotrichia capensis,12,December,2006,Yanah4,3005,,,13,16.044,72,10.934,18.8,17.8,44.08,23.85,21.3,22.575,0.512137024,46.37,25.59,23.08,24.335,0.524800518,0.518629077,,,,,,6.12,84.74331321
162022,male,0.8,not found,0,,trace,11.5,,,,Passeriformes,Troglodytidae,Troglodytes aedon,3,June,2007,Huachipa,366,,,12,0.504,76,55.261,16.5,15.5,33.95,17.07,14.96,16.015,0.471723122,18.7,10.25,7.59,8.92,0.477005348,0.47359924,,,,,,5.25,90.2093791
176736,female,2% ossified,bursa (mm): 10X5mm,1,no molt,none,13.51,0.1,0.69,0.18,Passeriformes,Troglodytidae,Troglodytes aedon,10,June,2012,Nuevo Mundo,1503,,,5,12.784,78,38.616,16.9,15.9,37.66,19.74,18.55,19.145,0.508364312,13.85,6.8,5.15,5.975,0.431407942,0.487672297,,,,,,,
168345,female,15% ossified,bursa (mm): 1x1,1,no molt,si leve,20.97,,,,Passeriformes,Passerellidae,Zonotrichia capensis,12,March,2009,Cordillera Vilcanota,3835,,,13,11.285,72,13.882,19.4,18.4,45.78,23.83,21.03,22.43,0.489951944,35.85,18.41,16.18,17.295,0.482426778,0.486647066,,,,,,4.71,103.3220947
168334,male,30% ossified,bursa (mm): 1x1,1,no molt,si leve,22.54,,,,Passeriformes,Passerellidae,Zonotrichia capensis,11,March,2009,Cordillera Vilcanota,4030,,,13,11.285,72,13.882,20,19,34.91,18.22,16.5,17.36,0.497278717,26.31,14.21,11.67,12.94,0.491828202,0.494936295,,,,,,,
168330,female,100% ossified,bursa (mm): 1x1,1,no molt,si leve,21.99,,,,Passeriformes,Passerellidae,Zonotrichia capensis,11,March,2009,Cordillera Vilcanota,4200,,,13,11.285,72,13.882,19.7,18.7,30.46,15.64,13.93,14.785,0.485390676,30.19,15.74,13.72,14.73,0.487909904,0.486644683,,,,,,,
