NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV
173832,female,100% ossified,no bursa,0,no molt,light,21.26,0.126,1.398,0.244,Passeriformes,Passerellidae,Zonotrichia capensis,17,May,2011,Macate,3840,,,8,45.1416,78,2.0412,18.6,17.6,43.09,24.02,21.85,,0.532258065,37.33,20.84,18.67,,0.529199036,0.5308381,,,,,,6.09,87.16553366
163421,male,100% ossified,no bursa,0,no molt,yes,23.17,,,,Passeriformes,Passerellidae,Zonotrichia capensis,9,May,2008,Carhuayumac,3840,,,11,45.814,76,32.931,,,41.97,25.59,23.9,24.745,0.589587801,32.62,21.72,18.93,20.325,0.623083998,0.606335899,,,,,,,
168551,female,100% ossified,no bursa,0,no molt,si moderado,20.1,,,,Passeriformes,Passerellidae,Zonotrichia capensis,7,September,2009,San Pedro de Casta - Potago,3910,,,11,45.816,76,32.55,,,37.29,18.35,16.35,17.35,0.465272191,39.15,19.4,18.11,18.755,0.479054917,0.47233124,,,,,,4.12,114.6435049
168555,male,100% ossified,no bursa,0,si leve,si abundante,22.2,,,,Passeriformes,Passerellidae,Zonotrichia capensis,7,September,2009,San Pedro de Casta - Potago,3910,,,11,45.816,76,32.55,20.9,19.9,19.67,12.83,10.52,11.675,0.593543467,27.1,16.08,14.48,15.28,0.563837638,0.576330981,,,,,,4.71,122.3632657
168520,male,100% ossified,no bursa,0,si leve,si moderado,23.95,,,,Passeriformes,Passerellidae,Zonotrichia capensis,3,September,2009,San Pedro de Casta - Potago,3936,,,11,46.062,76,32.077,21.9,20.9,27.5,16.9,15.2,16.05,0.583636364,24.8,16.54,12.51,14.525,0.585685484,0.584608031,,,,,,,
163111,male,100% ossified,no bursa,0,no molt,trace,23.4,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,January,2008,Carampoma,3945,,,11,37.595,76,26.039,18,17,42.73,22.79,20.26,21.525,0.503744442,36.68,19.23,16.74,17.985,0.490321701,0.49754439,,,,,,4.52,110.0761925
163110,male,100% ossified,no bursa,0,"si, cabeza y espaldo",not recorded,20.9,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,January,2008,Carampoma,3967,,,11,37.679,76,26.091,21.3,20.3,51.76,29.88,26.78,28.33,0.547333849,,,,0,,,,,,,,4.62,118.47053
251187,male,100,none,0,none,light,20.13,,,,Passeriformes,Passerellidae,Zonotrichia capensis,9,February,2015,Contunapampa,4122,,,11,46.101,76,31.832,,,,,,,,,,,,,,,,,,,,
175526,male,100,not noted,0,light molt,si moderado,11.16,0.026,0.678,0.16,Passeriformes,Troglodytidae,Troglodytes aedon,24,October,2011,San Pedro de Casta,4123,,,11,46.093,76,31.83,18.1,17.1,53.4,30.19,28.14,29.165,0.546161049,38.26,22.81,19.74,21.275,0.556063774,0.550294567,,,,,,,
163105,male,100% ossified,no bursa,0,no molt,trace,19.25,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,January,2008,Carampoma,3981,,,11,37.667,76,26.047,21.7,20.7,53.45,35.39,32.94,34.165,0.63919551,56.37,38.16,36.02,37.09,0.6579741,0.648834456,,,,,,5.47,118.6169024
251215,male,100,none,0,none,light,11.99,,,,Passeriformes,Troglodytidae,Troglodytes aedon,12,February,2015,Contunapampa,4131,,,11,46.096,76,31.615,,,,,,,,,,,,,,,,,,,,
